,materia_aprobada,nota_final_materia,periodo,integrador,primer_parcial,recuperatorio_primer_parcial,recuperatorio_segundo_parcial,segundo_parcial,evaluacion_diagnostica,api1,api1_score,api1_time_to_submit[days],api2,api2_score,api2_time_to_submit[days],api3,api3_score,api3_time_to_submit[days],api4,api4_score,api4_time_to_submit[days],ed3,ed3_score,ed3_time_to_submit[days],ed4,ed4_score,ed4_time_to_submit[days],otros_trabajos,otros_trabajos_score,tp1,tp1_score,tp1_time_to_submit[days],tp2,tp2_score,tp2_time_to_submit[days],tp3,tp3_score,tp3_time_to_submit[days],tp4,tp4_score,tp4_time_to_submit[days],basic_lti_launch_submits,discussion_topic_submits,external_tool_submits,media_recording_submits,online_quiz_submits,online_text_entry_submits,online_upload_submits
047ae353-fe0e-4f0d-bae4-1edc406895ae/06dd5f32-293c-442e-b602-08107eb61ea8,1,7.0,1-2022,7,4,-1,-1,6,-1,1,100.0,45.6,1,100.0,56.6,1,100.0,73.6,1,90.0,87.9,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,90.0,54.5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4,0,0,0,1
047ae353-fe0e-4f0d-bae4-1edc406895ae/315d9355-3583-4e8a-8a25-6677140a11d7,1,6.0,1-2022,-1,6,-1,-1,6,-1,1,100.0,13.7,1,100.0,28.5,1,90.0,44.1,1,90.0,50.4,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,67.0,26.2,1,90.0,39.1,1,80.0,39.1,1,70.0,54.2,0,0,4,0,0,0,4
047ae353-fe0e-4f0d-bae4-1edc406895ae/d1ecb02f-5535-41ac-a0ee-9e620c3d84ca,1,6.0,1-2022,-1,6,-1,-1,5,-1,1,100.0,33.7,1,71.4,51.1,1,100.0,93.9,1,100.0,122.1,-1,0.0,-1.0,-1,0.0,-1.0,1,0.0,1,63.0,53.1,1,72.0,81.3,0,0.0,0.0,1,70.0,130.2,0,1,4,0,0,0,3
047ae353-fe0e-4f0d-bae4-1edc406895ae/d9cc0ef0-3282-4c10-b2c7-bc231a26ca6a,1,9.0,1-2022,-1,9,-1,-1,9,-1,1,82.4,7.0,1,94.1,28.6,1,87.5,44.2,1,73.3,45.5,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,100.0,26.1,0,0.0,0.0,0,0.0,0.0,1,70.0,54.3,0,0,4,0,0,0,2
047ae353-fe0e-4f0d-bae4-1edc406895ae/e14f5a9d-992e-4d5f-b9e2-a0c723b4219b,1,6.0,1-2022,-1,7,-1,5,4,-1,1,100.0,43.1,1,81.8,57.5,1,100.0,74.3,1,100.0,88.5,-1,0.0,-1.0,-1,0.0,-1.0,0,0.0,1,70.0,55.2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0,4,0,0,0,1
047ae353-fe0e-4f0d-bae4-1edc406895ae/ed25cbf1-53e4-4dc7-90b4-c760d976c3ff,1,8.0,1-2022,-1,8,-1,-1,7,-1,1,100.0,33.7,1,81.3,51.2,1,100.0,93.9,1,100.0,111.4,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,90.0,53.0,1,74.0,81.2,1,96.0,102.3,1,84.0,130.3,0,0,4,0,0,0,4
04ad5b31-4753-4c60-b413-38541c305811/6eadafb2-0fda-45b1-8b54-fe31849253c0,1,10.0,1-2022,-1,9,-1,-1,10,-1,1,100.0,41.3,1,100.0,41.3,1,100.0,41.3,1,100.0,41.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,100.0,48.2,1,100.0,63.1,0,0.0,0.0,1,100.0,77.0,0,0,4,0,0,0,3
04ad5b31-4753-4c60-b413-38541c305811/9fb5bf9b-b5e3-40ef-b69e-8681fa52cb8d,1,8.0,1-2022,-1,8,-1,-1,7,-1,1,100.0,38.2,1,84.6,59.1,1,100.0,59.1,1,100.0,59.1,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,1,70.0,81.1,0,0.0,0.0,1,90.0,119.2,0,0,4,0,0,0,2
04ad5b31-4753-4c60-b413-38541c305811/af630619-d048-463a-a62c-5764f36ae1d3,1,9.0,1-2022,-1,10,-1,-1,10,-1,1,100.0,45.0,1,100.0,59.1,1,100.0,81.1,1,100.0,95.3,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,0,0.0,0.0,1,80.0,81.1,0,0.0,0.0,1,55.0,117.2,0,0,4,0,0,0,2
05d53230-1d1b-44ef-9aba-d41cdf7bcc13/2a867880-8ae8-4b38-b296-64beb70f0ffb,1,6.0,1-2022,-1,5,-1,-1,6,75,1,100.0,38.5,1,100.0,38.5,1,100.0,38.5,1,100.0,38.5,-1,0.0,-1.0,-1,0.0,-1.0,-1,0.0,1,85.0,38.5,1,100.0,38.6,1,72.5,38.6,1,86.67,38.6,0,0,4,0,5,0,0
